bank_narration,amount_credited
UPI/REF/TXN0002/RAZORPAY/PAYMENT,3071.34
UPI/REF/TXN0003/RAZORPAY/PAYMENT,4749.03
UPI/REF/TXN0004/RAZORPAY/PAYMENT,2445.0
UPI/REF/TXN0005/RAZORPAY/PAYMENT,754.16
UPI/REF/TXN0007/RAZORPAY/PAYMENT,3892.79
UPI/REF/TXN0008/RAZORPAY/PAYMENT,4396.31
UPI/REF/TXN0009/RAZORPAY/PAYMENT,1250.21
UPI/REF/TXN0010/RAZORPAY/PAYMENT,4444.23
UPI/REF/TXN0012/RAZORPAY/PAYMENT,2670.8
UPI/REF/TXN0013/RAZORPAY/PAYMENT,2055.91
UPI/REF/TXN0014/RAZORPAY/PAYMENT,3028.38
UPI/REF/TXN0015/RAZORPAY/PAYMENT,4174.76
UPI/REF/TXN0017/RAZORPAY/PAYMENT,2730.29
UPI/REF/TXN0018/RAZORPAY/PAYMENT,817.15
UPI/REF/TXN0019/RAZORPAY/PAYMENT,2707.36
UPI/REF/TXN0020/RAZORPAY/PAYMENT,2362.69
